time;cc;earfcn;pci;rsrp;pl;cfo;pci_neigh;rsrp_neigh;cfo_neigh;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached
1000;0;3350;1;-6.1;6.1;-1.2;n/a;n/a;n/a;4.8;137;0.50;2522.255127;0;0.0;19;0.0;21519.287109;0;0.0;0.0;0.0;1.0
1993;0;3350;1;-6.1;6.1;0.0000015;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
2992;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
3991;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
4990;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
5989;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
6988;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;22;0.0;2080.482910;0;0.0;0.0;0.0;1.0
7987;0;3350;1;-6.1;6.1;0.0000018;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;22;0.0;2085.728760;0;0.0;0.0;0.0;1.0
8986;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;22;0.0;2179.135986;0;0.0;0.0;0.0;1.0
9986;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;22;0.0;2227.248291;0;0.0;0.0;0.0;1.0
10985;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;22;0.0;2187.202637;0;0.0;0.0;0.0;1.0
11984;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;22;0.0;2092.058594;0;0.0;0.0;0.0;1.0
12983;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;22;0.0;2033.431641;0;0.0;0.0;0.0;1.0
13982;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;22;0.0;2460.440186;0;0.0;0.0;0.0;1.0
14981;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;89;0.0;0.0;0.0;0.0;0.0;1.0
15980;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;22;89;2878.218506;0;0.0;0.0;0.0;1.0
16980;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;22;0.0;5976.878418;0;0.0;0.0;0.0;1.0
17978;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;22;0.0;2602.895020;0;0.0;0.0;0.0;1.0
18977;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;22;0.0;2364.779785;0;0.0;0.0;0.0;1.0
19976;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;22;0.0;2251.497070;0;0.0;0.0;0.0;1.0
20975;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;22;0.0;2000.000000;0;0.0;0.0;0.0;1.0
21974;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;22;0.0;1808.482788;0;0.0;0.0;0.0;1.0
22973;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;22;0.0;1861.386108;0;0.0;0.0;0.0;1.0
23972;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;22;0.0;1980.842896;0;0.0;0.0;0.0;1.0
24971;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
25970;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
26969;0;3350;1;-6.1;6.1;0.0000018;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
27971;0;3350;1;-6.1;6.1;0.0000018;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
28968;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
29967;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
30966;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
31968;0;3350;1;-6.1;6.1;0.0000015;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
32965;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
33964;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
34963;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
35962;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
36961;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
37960;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
38959;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
39958;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;3.0;144;0.50;0.0;0.0;0.0;22;0.0;0.0;0;0.0;0.0;0.0;0.0
40960;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
41953;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
42952;0;3350;1;-6.1;6.1;0.0000015;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
43951;0;3350;1;-6.1;6.1;0.0000015;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
44950;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
45949;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
46948;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
47947;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
48946;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
